ID,Alegacao,Tipo_Evidencia,Hipoteses,Script_Teste,Dados_Evidencia,Status,Linguagem_Permitida_Manuscrito
T1,Caixa Central U_N = (-1/3 1/3)^N e Folga LP 0.5,Prova Analitica Universal e Teste Numerico,H1 (3 lit/clausula) e H2 (conectividade de variaveis),test_clg_theorems.py::test_theorem1_plateau_zero_energy_and_gradient,500 pontos em U_N com gradiente identicamente nulo e folga LP = 0.5 exata,Fechado,Demonstrado deterministico: gradiente identicamente zero e folga fracionaria interior 0.5 em toda a caixa central
T2,Medida Nula dos Conjuntos Criticos em Phi_mult e Phi_soft,Prova Analitica Rigorosa e Teste Simbolico,H1 H2 e H3' (Var(E_disc) > 0 por Parseval),test_clg_theorems.py::test_theorem2_random_points_are_never_critical,Fubini/Okamoto para polinomios multilineares e Teorema de Identidade Analitica Real para Softplus,Fechado sob Hipoteses,Demonstrado sob nao-degenerescencia de Walsh-Fourier: conjunto de pontos singulares tem medida de Lebesgue zero
T3,Harmonicidade e Selas de Morse Interiores em Phi_mult,Prova Analitica Rigorosa e Teste Simbolico/Numerico,H1 (variaveis distintas por clausula) e H3',test_clg_theorems.py::test_theorem3_laplacian_vanishes,Laplaciano identicamente zero; hessiana com traco nulo; pontos criticos interiores sao selas com indice Morse 1 <= m <= N-1,Fechado sob Hipoteses,Demonstrado: Laplaciano nulo no interior; Principio do Minimo Forte e Lema de Selecao de Curvas de Milnor excluem minimos locais interiores
T4A_prime,Minimos Locais Relativos em Faces Herdam Energia de Vertices,Prova Analitica Rigorosa,H1 (linearidade por coordenada em faces do cubo),test_clg_theorems.py::test_theorem4_local_minima_value_equals_vertex_value,Restricao em face d >= 1 e harmonica; minimo local implica funcao constante na face igual a energia dos vertices,Fechado,Demonstrado sem hipotese H4 de nao-degenerescencia no bordo: todo minimo relativo em face herda o valor exato dos vertices booleanos
Corolario_4B,Confinamento de Atratores Projetados aos Vertices Discretos,Prova Analitica via LaSalle e Decomposicao Estratificada,H1 e fluxo projetado puro no hipercubo compacto,test_clg_theorems.py::test_theorem4_local_minima_value_equals_vertex_value; test_parecer19_auditoria.py,Lyapunov decrescente d/dt Phi <= 0; equilibrio assintoticamente estavel isolado requer minimo estrito confinado a d=0,Fechado com Ressalva,Demonstrado: todo equilibrio assintoticamente estavel isolado do fluxo projetado reside exclusivamente nos vertices discretos {-1 1}^N
T5,Fatoracao Exata da Hessiana Softplus V^T W V >= 0 e Condicionamento,Prova Analitica e Teste Numerico,beta > 0 e posto rank(V) = N,test_clg_theorems.py::test_theorem5_hessian_factorization_and_bounds,Fatoracao hessiana exata; autovalores nao-negativos; cota de condicioamento kappa(H) <= kappa(W)*kappa(V^T V),Fechado sob Condicoes,Demonstrado sob condicao de posto completo: hessiana semi-definida positiva global; estritamente convexa se rank(V) = N
T6,Cotas Lipschitz L_beta = Theta(beta) e Underflow IEEE 754,Prova Analitica e Teste Numerico,Convecoes IEEE 754 de precisao simples (FP32) e dupla (FP64),test_clg_theorems.py::test_theorem6_lipschitz_sandwich; test_theorem6_ieee754_underflow_thresholds,Cota sanduiche 3/16 beta <= L_beta <= 3 d_max/16 beta; limites normais e flush-to-zero analiticos e numericos,Fechado sob Convencoes,Demonstrado sob padrao IEEE 754: constante de Lipschitz escala linearmente com beta; underflow exponencial recria o plato Hinge plano
T7B,Contracao Centripeta Universal e Convergencia ao Politopo LP Z,Prova Analitica Rigorosa via Cones Normais e LaSalle,Instancias 3-CNF gerais e fluxo gradiente projetado puro,test_clg_theorems.py::test_theorem7b_centripetal_identity; test_parecer19_auditoria.py::test_teorema7b_lasalle_distance_formulation,< -grad Phi x > < 0 fora de Z; cone normal N_X(x) impede equilibrios fora de Z; dissipacao estrita,Fechado como Conjunto Limite,Demonstrado: E_proj = Z identicamente; conclusao permitida e estritamente lim dist(x(t) Z) = 0 sem alegacao de convergencia pontual
Prop_7A,Estrutura Competitiva do Jacobiano em Clausulas Negativas,Deducao Analitica e Contraexemplo do Parecer 19,Formula com clausulas puramente negativas F_N (N >= 4),test_parecer19_auditoria.py::test_prop7a_counterexample_n4; test_prop7a_jacobian_competitive,J_ij <= 0 analitico comprovado; x_1 cruza para negativo (x_1* = -0.004) refutando preservacao de coordenadas positivas,Fechado para Jacobiano Competitivo,Demonstrado estritamente: J_ij <= 0 (fracamente inibitorio/competitivo); teoremas de cooperatividade de Hirsch suspensos; Item 2 de arredondamento 100% expurgado
T8,Cota Inferior de Volume do Politopo LP via Desigualdade de Jensen,Deducao Analitica com Distribuicao Irwin-Hall de Ordem 3,Ensemble aleatorio de 3-SAT com M = floor(alpha N) >= 1 clausulas independentes,test_parecer19_auditoria.py::test_teorema8_jensen_convexity_relaxed,Integral Irwin-Hall = 5/6; convexidade de t^M em [0 1] para M >= 1 fornece E[mu(Z)] >= (5/6)^M > 0,Fechado como Cota Finita,Demonstrado para dimensao finita: E[mu_norm(Z)] >= (5/6)^M > 0; proibido inferir limite assintotico nulo sem cota superior independente
